CASE	CORPUS	FILE	MATCHLEMMA	COMPLEMENTIZER	TYPE	L1	REGISTER	L_MATRBE4S	SURPRISAL
45	ICLE	GESA3007	admit	present	obj	German	written	4	9.9085597149
46	ICLE	GEAU1040	admit	present	obj	German	written	0	5.6417731742
47	ICLE	GEBA1034	admit	present	obj	German	written	0	5.6417731742
48	ICE-GB	S1B-056	admit	present	obj	English	spoken	0	7.1536722127
49	ICLE	SPM02006	admit	absent	obj	Spanish	written	0	3.6942405941
50	ICLE	GEAU3035	admit	present	obj	German	written	0	3.6942405941
51	ICLE	GESA5037	admit	present	obj	German	written	0	3.6942405941
52	ICE-GB	S1A-034	admit	absent	obj	English	spoken	0	3.6942405941
53	LINDSEI	GE025	admit	absent	obj	German	spoken	0	3.6942405941
54	ICE-GB	S2A-027	admit	present	obj	English	spoken	19	3.6942405941
55	ICLE	GEAU2003	admit	present	obj	German	written	0	3.6942405941
56	ICLE	GESA5041	admit	present	obj	German	written	0	3.6942405941
57	ICLE	SPM06012	admit	absent	obj	Spanish	written	0	3.6942405941
58	ICE-GB	W2F-013	admit	present	obj	English	written	3	3.6942405941
59	ICLE	GEAU3037	admit	absent	obj	German	written	0	3.6942405941
60	ICLE	GEAU3065	admit	present	obj	German	written	8	7.4491280962
61	ICLE	GEAU3042	admit	present	obj	German	written	0	3.2938498708
62	ICLE	GEAU3042	admit	present	obj	German	written	0	3.2938498708
63	ICLE	GEAU1026	admit	present	obj	German	written	0	3.2938498708
64	ICLE	SPM03049	admit	present	obj	Spanish	written	0	3.2938498708
65	ICLE	GEAU2035	admit	present	obj	German	written	0	3.2938498708
66	ICLE	GEAU1068	admit	present	obj	German	written	0	11.9085597149
67	ICLE	GEAU3054	admit	present	obj	German	written	0	8.1012047928
68	ICE-GB	S2A-031	admit	present	obj	English	spoken	0	8.9085597149
69	ICLE	GESA5012	admit	present	obj	German	written	8	7.0016691193
70	ICE-GB	S1B-053	admit	present	obj	English	spoken	0	4.4087138278
71	ICE-GB	S1B-056	admit	present	obj	English	spoken	0	4.4087138278
72	ICLE	GEAU3041	admit	present	obj	German	written	12	4.4087138278
73	ICLE	GEAU3010	admit	present	obj	German	written	9	4.4087138278
74	ICLE	GEAU3010	admit	present	obj	German	written	0	4.4087138278
75	ICE-GB	S1B-049	admit	absent	obj	English	spoken	0	4.4087138278
76	ICLE	GEBA1047	admit	present	obj	German	written	0	4.4087138278
77	ICLE	GEAU1099	admit	present	obj	German	written	4	6.8641655955
78	ICLE	SPM06003	admit	present	obj	Spanish	written	0	5.8000352581
79	ICLE	GEAU3072	admit	present	obj	German	written	2	5.8000352581
80	ICLE	GESA5031	admit	present	obj	German	written	0	8.1012047928
81	ICE-GB	S1B-038	admit	absent	obj	English	spoken	0	8.1012047928
82	ICE-GB	W2C-019	admit	present	obj	English	written	0	6.3539708632
83	ICE-GB	S1A-080	admit	absent	obj	English	spoken	0	6.8885253115
84	ICE-GB	S2B-016	admit	absent	obj	English	spoken	0	4.8741700186
85	ICE-GB	W2B-011	agree	present	obj	English	written	61	8.2059709968
86	ICLE	GESA5032	agree	present	obj	German	written	44	6.778549773
87	ICE-GB	S1B-054	agree	absent	obj	English	spoken	0	6.778549773
88	ICLE	GEAU1042	agree	present	obj	German	written	0	6.778549773
89	ICE-GB	S1A-031	agree	absent	obj	English	spoken	0	6.778549773
90	ICLE	GESA3001	agree	present	obj	German	written	0	6.778549773
91	ICLE	GEBA1002	agree	present	obj	German	written	15	6.0752673051
92	ICE-GB	W1A-015	agree	present	obj	English	written	0	6.0752673051
93	ICE-GB	S1B-052	agree	present	obj	English	spoken	114	6.0752673051
94	ICE-GB	W1A-001	agree	present	obj	English	written	0	6.0752673051
95	ICLE	GEAU3086	agree	present	obj	German	written	0	6.0752673051
96	ICE-GB	W2B-031	agree	present	obj	English	written	0	8.3090644897
97	ICE-GB	S2B-050	agree	present	obj	English	spoken	0	8.3090644897
98	ICLE	GEAU3090	agree	present	obj	German	written	0	8.5403900358
99	ICLE	GEBA1010	agree	present	obj	German	written	9	8.5403900358
100	ICE-GB	S1B-030	agree	present	obj	English	spoken	9	9.0639519919
101	ICE-GB	S1B-057	agree	present	obj	English	spoken	0	9.0639519919
102	ICE-GB	S1B-052	agree	present	obj	English	spoken	0	9.0639519919
103	ICLE	SPM02014	agree	absent	obj	Spanish	written	8	9.0639519919
104	ICE-GB	S1B-075	agree	present	obj	English	spoken	0	8.9764891507
105	ICLE	GEAU3008	announce	present	obj	German	written	0	6.5515882424
106	ICE-GB	S1B-077	appreciate	present	obj	English	spoken	0	4.1288314604
107	ICE-GB	S2B-002	be	absent	sub	English	spoken	0	11.3073229684
108	ICE-GB	S2B-013	argue	present	obj	English	spoken	0	8.9557709931
109	ICLE	SPM08009	argue	present	obj	Spanish	written	0	9.8037678996
110	ICLE	GEAU3090	argue	present	obj	German	written	0	4.8683081518
111	ICLE	GEDR1010	argue	present	obj	German	written	0	4.8683081518
112	ICLE	GEAU3096	argue	present	obj	German	written	0	4.8683081518
113	ICLE	SPM08009	argue	present	obj	Spanish	written	0	4.8683081518
114	ICE-GB	S2B-023	argue	present	obj	English	spoken	0	4.8683081518
115	ICLE	GESA4012	argue	present	obj	German	written	0	4.8683081518
116	ICLE	SPM04049	argue	present	obj	Spanish	written	0	5.6583216435
117	ICE-GB	W2E-005	argue	present	obj	English	written	0	5.31709211
118	ICE-GB	S2B-013	argue	present	obj	English	spoken	0	5.31709211
119	ICE-GB	W2C-006	argue	present	obj	English	written	0	5.31709211
120	ICE-GB	S1B-047	argue	present	obj	English	spoken	0	5.31709211
121	ICE-GB	W2C-005	argue	present	obj	English	written	73	5.31709211
122	ICE-GB	S2A-053	assume	present	obj	English	spoken	23	6.904384296
123	ICE-GB	S2A-053	assume	present	obj	English	spoken	0	7.6819918747
124	ICE-GB	S1A-082	assume	absent	obj	English	spoken	0	5.6649183613
125	ICE-GB	S2A-064	assume	present	obj	English	spoken	0	5.6649183613
126	ICE-GB	S1A-082	assume	absent	obj	English	spoken	0	5.6649183613
127	ICE-GB	S1A-082	assume	absent	obj	English	spoken	0	5.6649183613
128	ICE-GB	S1A-079	assume	present	obj	English	spoken	34	5.6649183613
129	ICE-GB	W1B-022	assume	present	obj	English	written	0	5.6649183613
130	ICE-GB	W2B-016	be	present	sub	English	written	40	9.3540719805
131	ICE-GB	W2E-008	be	present	sub	English	written	0	9.3540719805
132	ICLE	GESA3010	be	present	sub	German	written	5	5.1523491072
133	ICLE	GESA2003	be	present	sub	German	written	71	5.1523491072
134	ICLE	GEBA1012	be	present	sub	German	written	0	5.1523491072
135	ICE-GB	S1B-001	be	present	sub	English	spoken	0	5.1523491072
136	ICLE	GEAU3066	be	present	sub	German	written	0	5.1523491072
137	ICLE	GEAU4010	be	present	sub	German	written	0	10.8002796646
138	ICE-GB	S2B-030	believe	absent	obj	English	spoken	0	6.6920633327
139	ICE-GB	W2E-009	believe	present	obj	English	written	0	6.6920633327
140	ICLE	GEAU3089	believe	present	obj	German	written	0	6.6920633327
141	ICLE	SPM04039	believe	present	obj	Spanish	written	0	6.6920633327
142	ICE-GB	W2C-005	believe	present	obj	English	written	0	6.6920633327
143	ICLE	SPM03043	believe	present	obj	Spanish	written	0	8.6514213482
144	ICLE	GEAU3091	believe	present	obj	German	written	59	8.6514213482
145	ICE-GB	S2B-044	believe	present	obj	English	spoken	0	8.6514213482
146	ICE-GB	S2A-045	believe	present	obj	English	spoken	8	8.5989539283
147	ICE-GB	S2B-027	believe	present	obj	English	spoken	0	10.8213463497
148	ICLE	SPM03044	believe	present	obj	Spanish	written	0	10.8213463497
149	ICE-GB	S1B-040	believe	present	obj	English	spoken	0	5.8101190943
150	ICE-GB	S1B-069	believe	absent	obj	English	spoken	0	5.8101190943
151	ICE-GB	S2B-012	believe	absent	obj	English	spoken	0	5.8101190943
152	ICE-GB	S2B-028	believe	present	obj	English	spoken	0	5.8101190943
153	ICE-GB	S1B-063	believe	absent	obj	English	spoken	0	5.8101190943
154	ICE-GB	W1A-018	believe	present	obj	English	written	0	7.3402196599
155	ICE-GB	W1B-005	believe	present	obj	English	written	0	6.0531620249
156	ICE-GB	S1B-069	believe	absent	obj	English	spoken	0	6.0531620249
157	ICE-GB	S1B-070	believe	present	obj	English	spoken	7	6.0531620249
158	ICE-GB	S2B-020	believe	present	obj	English	spoken	0	6.0531620249
159	ICE-GB	S2B-025	believe	present	obj	English	spoken	0	6.0531620249
160	ICE-GB	S1B-074	believe	absent	obj	English	spoken	0	6.0531620249
161	ICE-GB	S1B-063	believe	absent	obj	English	spoken	0	6.0531620249
162	ICE-GB	W2F-012	believe	absent	obj	English	written	0	6.0531620249
163	ICE-GB	S2B-020	believe	present	obj	English	spoken	0	6.0531620249
164	ICE-GB	S2A-064	believe	present	obj	English	spoken	0	3.7943619086
165	ICE-GB	S2B-003	believe	absent	obj	English	spoken	0	3.7943619086
166	ICLE	GESA4010	believe	present	obj	German	written	0	3.29974591
167	ICE-GB	W2B-017	believe	present	obj	English	written	54	3.29974591
168	ICE-GB	S2B-006	believe	absent	obj	English	spoken	0	3.29974591
169	ICLE	GESA5032	believe	present	obj	German	written	0	3.29974591
170	ICLE	GESA5031	believe	present	obj	German	written	0	3.29974591
171	ICLE	GESA3007	believe	present	obj	German	written	12	3.29974591
172	ICLE	SPM07018	believe	present	obj	Spanish	written	0	3.29974591
173	LINDSEI	SP003	believe	absent	obj	Spanish	spoken	0	3.29974591
174	ICE-GB	S1B-069	believe	absent	obj	English	spoken	0	3.29974591
175	ICE-GB	S1B-070	believe	present	obj	English	spoken	0	3.29974591
176	ICE-GB	S2B-016	believe	absent	obj	English	spoken	0	3.29974591
177	ICLE	GEBA1022	believe	present	obj	German	written	0	3.29974591
178	ICLE	GEAU2007	believe	present	obj	German	written	0	3.29974591
179	ICE-GB	S1B-053	believe	absent	obj	English	spoken	0	3.29974591
180	ICLE	GEAU4009	believe	absent	obj	German	written	90	3.29974591
181	ICE-GB	S2A-031	believe	present	obj	English	spoken	0	3.29974591
182	ICE-GB	S1B-069	believe	absent	obj	English	spoken	0	3.29974591
183	ICE-GB	S1B-020	believe	present	obj	English	spoken	17	3.29974591
184	ICE-GB	S1B-035	believe	present	obj	English	spoken	0	3.29974591
185	ICLE	GEAU2001	believe	present	obj	German	written	0	3.29974591
186	ICE-GB	W2C-015	believe	absent	obj	English	written	0	3.29974591
187	ICLE	SPM01007	believe	present	obj	Spanish	written	12	3.29974591
188	ICLE	GESA5032	believe	absent	obj	German	written	0	3.29974591
189	ICLE	GEAU1068	believe	absent	obj	German	written	0	3.29974591
190	ICE-GB	S1B-052	believe	absent	obj	English	spoken	0	7.7624526606
191	ICE-GB	S2B-037	believe	present	obj	English	spoken	0	10.8213463497
192	ICLE	GEDR1011	believe	present	obj	German	written	0	10.4994182548
193	ICLE	GEAU4009	believe	present	obj	German	written	0	11.5989539283
194	ICE-GB	S1B-034	believe	absent	obj	English	spoken	0	10.4063088504
195	LINDSEI	GE004	believe	absent	obj	German	spoken	0	7.0226045579
196	ICLE	SPM01007	believe	present	obj	Spanish	written	9	10.0843807555
197	ICE-GB	S2A-040	believe	present	obj	English	spoken	0	9.4994182548
198	ICE-GB	S1B-069	believe	absent	obj	English	spoken	0	1.7909091067
199	ICE-GB	S1B-036	believe	present	obj	English	spoken	0	1.7909091067
200	ICE-GB	S1B-065	believe	present	obj	English	spoken	0	1.7909091067
201	ICE-GB	W1B-020	believe	absent	obj	English	written	30	4.1919897296
202	ICE-GB	S1B-040	believe	present	obj	English	spoken	0	4.1919897296
203	ICLE	SPM02006	believe	present	obj	Spanish	written	7	4.1919897296
204	ICE-GB	W2A-014	believe	present	obj	English	written	2	4.1919897296
205	ICE-GB	S2B-015	believe	absent	obj	English	spoken	0	4.1919897296
206	ICE-GB	S1B-055	believe	present	obj	English	spoken	0	4.1919897296
207	ICE-GB	S1B-035	believe	present	obj	English	spoken	37	4.1919897296
208	ICE-GB	W2C-002	believe	absent	obj	English	written	0	4.1919897296
209	ICLE	GESA4011	believe	present	obj	German	written	0	4.1919897296
210	ICE-GB	W2F-004	believe	present	obj	English	written	0	4.1919897296
211	ICE-GB	W1B-024	believe	present	obj	English	written	2	4.1919897296
212	ICE-GB	W1B-024	believe	present	obj	English	written	0	4.1919897296
213	ICE-GB	W2B-028	believe	present	obj	English	written	0	4.1919897296
214	ICE-GB	S2B-013	believe	present	obj	English	spoken	9	4.1919897296
215	ICLE	SPM07021	believe	present	obj	Spanish	written	0	4.1919897296
216	ICE-GB	W1B-022	believe	present	obj	English	written	0	4.1919897296
217	ICLE	GEBA1024	believe	absent	obj	German	written	0	4.1919897296
218	ICE-GB	S2B-032	believe	present	obj	English	spoken	0	4.1919897296
219	ICE-GB	S1B-056	believe	absent	obj	English	spoken	0	4.1919897296
220	ICE-GB	S2A-033	believe	present	obj	English	spoken	0	4.1919897296
221	ICLE	SPM02011	believe	absent	obj	Spanish	written	80	4.1919897296
222	ICLE	SPM06006	believe	present	obj	Spanish	written	17	4.1919897296
223	ICLE	SPM04038	believe	present	obj	Spanish	written	4	7.9468772318
224	ICE-GB	S1B-040	believe	absent	obj	English	spoken	0	6.2718825302
225	ICE-GB	S2B-020	believe	absent	obj	English	spoken	0	6.2718825302
226	ICE-GB	S2B-030	believe	absent	obj	English	spoken	0	6.2718825302
227	ICE-GB	W1B-024	believe	present	obj	English	written	2	6.2718825302
228	ICE-GB	W1B-016	believe	absent	obj	English	written	0	6.2718825302
229	ICE-GB	W1B-023	believe	absent	obj	English	written	2	6.2718825302
230	ICLE	GESA4010	believe	present	obj	German	written	0	6.2718825302
231	ICE-GB	S1B-035	believe	present	obj	English	spoken	0	6.2718825302
232	ICLE	SPM01012	believe	present	obj	Spanish	written	0	5.6514213482
233	ICE-GB	S1B-016	believe	absent	obj	English	spoken	0	5.6514213482
234	ICE-GB	W2C-007	believe	absent	obj	English	written	0	5.6514213482
235	ICE-GB	S1B-035	believe	present	obj	English	spoken	0	5.6514213482
236	ICLE	GESA5034	believe	present	obj	German	written	69	5.6514213482
237	ICLE	GESA3012	believe	absent	obj	German	written	9	5.6514213482
238	ICE-GB	S1B-034	believe	absent	obj	English	spoken	0	5.8594143905
239	ICE-GB	S1B-058	believe	absent	obj	English	spoken	0	5.8594143905
240	ICLE	GEBA1042	believe	present	obj	German	written	4	5.8594143905
241	ICE-GB	W1B-022	believe	absent	obj	English	written	0	5.8594143905
242	ICLE	GEAU3066	believe	present	obj	German	written	0	5.8594143905
243	LINDSEI	GE050	believe	present	obj	German	spoken	0	5.8594143905
244	ICE-GB	W2B-038	believe	absent	obj	English	written	14	5.8594143905
245	ICE-GB	W1B-029	believe	absent	obj	English	written	0	5.8594143905
246	ICLE	GESA4007	believe	present	obj	German	written	0	5.8594143905
247	ICE-GB	W2B-013	believe	present	obj	English	written	2	5.8594143905
248	ICE-GB	S1B-027	believe	absent	obj	English	spoken	0	6.1348458225
249	ICE-GB	S1B-027	believe	present	obj	English	spoken	0	6.1348458225
250	ICE-GB	S1B-047	believe	present	obj	English	spoken	0	6.1348458225
251	ICLE	GEAU3094	believe	present	obj	German	written	59	6.1348458225
252	ICE-GB	S2B-032	believe	absent	obj	English	spoken	14	6.1348458225
253	ICE-GB	S2A-043	believe	present	obj	English	spoken	0	6.1348458225
254	ICE-GB	S2B-047	believe	present	obj	English	spoken	0	6.1348458225
255	ICLE	SPM04009	believe	absent	obj	Spanish	written	14	6.1348458225
256	ICE-GB	S2A-043	believe	present	obj	English	spoken	0	6.1348458225
257	ICE-GB	S1B-061	believe	absent	obj	English	spoken	0	6.1348458225
258	ICE-GB	S2B-020	believe	absent	obj	English	spoken	0	6.1348458225
259	ICE-GB	S1B-053	believe	absent	obj	English	spoken	0	6.1348458225
260	ICLE	SPM04047	believe	present	obj	Spanish	written	0	6.1348458225
261	ICE-GB	W1B-030	believe	absent	obj	English	written	0	6.1348458225
262	ICLE	SPM10012	believe	present	obj	Spanish	written	0	6.1348458225
263	ICE-GB	W2C-011	believe	present	obj	English	written	0	10.4994182548
264	ICE-GB	S1B-056	believe	absent	obj	English	spoken	0	10.4994182548
265	ICLE	SPM01016	believe	absent	obj	Spanish	written	0	11.4063088504
266	ICE-GB	S1A-041	believe	absent	obj	English	spoken	0	5.2439175216
267	ICE-GB	W1B-018	believe	present	obj	English	written	0	9.1209066315
268	ICE-GB	S1B-049	believe	present	obj	English	spoken	23	5.2935689276
269	ICLE	GEAU3061	believe	absent	obj	German	written	0	5.2935689276
270	ICE-GB	W2F-010	believe	absent	obj	English	written	0	7.1658133804
271	ICE-GB	W2F-017	believe	absent	obj	English	written	23	6.7446756816
272	ICE-GB	W2C-017	believe	absent	obj	English	written	0	4.3654618461
273	ICLE	GESA3018	believe	present	obj	German	written	0	4.3654618461
274	ICE-GB	S2B-029	believe	present	obj	English	spoken	0	7.7265283348
275	ICLE	GEAU3014	believe	present	obj	German	written	83	6.1780917101
276	ICE-GB	S2B-007	believe	absent	obj	English	spoken	0	6.937617765
277	ICE-GB	W2C-011	believe	present	obj	English	written	0	6.937617765
278	ICE-GB	S2B-001	claim	absent	obj	English	spoken	0	6.1057678938
279	ICE-GB	S2A-067	concede	present	obj	English	spoken	0	4.1568053496
280	ICE-GB	W2C-018	concede	absent	obj	English	written	0	4.1568053496
281	ICE-GB	S2B-031	conclude	present	obj	English	spoken	0	4.3232342629
282	ICLE	SPM04031	conclude	present	obj	Spanish	written	191	4.3232342629
283	ICLE	SPM04008	conclude	present	obj	Spanish	written	7	4.3232342629
284	ICE-GB	W2B-001	conclude	present	obj	English	written	30	5.0224897878
285	ICE-GB	S1B-055	confirm	present	obj	English	spoken	0	4.4055474936
286	ICLE	SPM10014	consider	present	obj	Spanish	written	11	4.7134619288
287	ICLE	GESA3018	consider	present	obj	German	written	0	4.7134619288
288	ICE-GB	S2A-007	consider	absent	obj	English	spoken	0	10.0019435405
289	ICLE	SPM05010	consider	present	obj	Spanish	written	0	5.0057054593
290	ICE-GB	W1B-016	consider	absent	obj	English	written	0	5.0057054593
291	ICE-GB	W1B-007	consider	absent	obj	English	written	0	5.0057054593
292	ICE-GB	S1A-083	consider	present	obj	English	spoken	0	5.0057054593
293	ICE-GB	S2A-048	consider	absent	obj	English	spoken	0	5.0057054593
294	ICE-GB	S1B-062	consider	present	obj	English	spoken	4	11.5869060413
295	ICE-GB	S2A-063	consider	present	obj	English	spoken	0	4.0555245808
296	ICLE	SPM01015	consider	present	obj	Spanish	written	0	2.082583593
297	ICLE	SPM03039	consider	present	obj	Spanish	written	0	2.082583593
298	ICE-GB	W1B-027	consider	present	obj	English	written	0	2.082583593
299	ICLE	SPM05001	consider	present	obj	Spanish	written	0	2.082583593
300	ICLE	SPM10002	consider	present	obj	Spanish	written	0	2.082583593
301	ICLE	SPM10010	consider	present	obj	Spanish	written	107	2.082583593
302	ICLE	SPM03028	consider	present	obj	Spanish	written	0	10.7795511192
303	ICLE	SPM10010	consider	absent	obj	Spanish	written	0	10.0019435405
304	ICE-GB	W2D-015	consider	absent	obj	English	written	0	10.0019435405
305	ICE-GB	W2B-020	consider	present	obj	English	written	9	10.0019435405
306	ICE-GB	S2A-032	consider	present	obj	English	spoken	0	3.9460177073
307	ICE-GB	S2B-045	decide	present	obj	English	spoken	12	8.5296526431
308	ICE-GB	S1B-051	decide	absent	obj	English	spoken	2	6.2781138761
309	ICE-GB	W2F-008	decide	absent	obj	English	written	0	6.2781138761
310	ICE-GB	W2C-020	decide	absent	obj	English	written	0	6.2781138761
311	ICLE	GEAU3003	decide	absent	obj	German	written	0	6.2781138761
312	ICE-GB	W1B-014	decide	absent	obj	English	written	13	5.4831782133
313	ICE-GB	S2B-009	decide	absent	obj	English	spoken	0	5.4831782133
314	ICE-GB	S1B-077	decide	absent	obj	English	spoken	0	5.4831782133
315	ICLE	GEAU3008	decide	absent	obj	German	written	0	5.4831782133
316	ICE-GB	W2B-005	decide	present	obj	English	written	4	5.4831782133
317	ICE-GB	W1B-025	decide	present	obj	English	written	0	5.4831782133
318	ICE-GB	S1B-030	decide	absent	obj	English	spoken	0	6.0031068286
319	ICE-GB	S2B-009	decide	present	obj	English	spoken	0	6.0031068286
320	ICE-GB	S1B-030	decide	absent	obj	English	spoken	0	6.0031068286
321	ICLE	GEAU3014	decide	present	obj	German	written	0	6.0031068286
322	ICE-GB	W2B-020	decide	present	obj	English	written	0	6.0031068286
323	ICE-GB	W2B-034	decide	present	obj	English	written	0	6.0031068286
324	ICE-GB	S1A-070	decide	present	obj	English	spoken	0	8.1146151438
325	ICE-GB	S2A-003	decide	present	obj	English	spoken	0	7.0271523026
326	ICE-GB	S1A-082	decide	present	obj	English	spoken	4	8.3072602218
327	ICE-GB	W2A-004	declare	present	obj	English	written	17	3.3226690542
328	ICLE	SPM03009	deduce	present	obj	Spanish	written	0	2.8090710048
329	ICE-GB	W2C-008	demonstrate	present	obj	English	written	0	8.9779221729
330	ICLE	SPM04012	demonstrate	present	obj	Spanish	written	0	8.9779221729
331	ICLE	SPM01016	demonstrate	present	obj	Spanish	written	0	10.2998502678
332	ICLE	GESA3003	demonstrate	present	obj	German	written	0	10.2998502678
333	ICE-GB	W2C-019	deny	present	obj	English	written	0	3.037717217
334	ICLE	GESA5022	deny	present	obj	German	written	0	7.2381443068
335	ICLE	GEAU1038	deny	present	obj	German	written	0	6.6002726625
336	ICLE	GEBA1026	deny	present	obj	German	written	0	3.4573147086
337	ICLE	SPM10010	deny	present	obj	Spanish	written	46	3.4573147086
338	ICLE	GEAU3082	deny	present	obj	German	written	0	2.5305991347
339	LINDSEI	SP011	discover	present	obj	Spanish	spoken	0	6.6381759274
340	ICLE	GEAU1086	discover	present	obj	German	written	0	3.6057544498
341	ICE-GB	S2A-020	discover	present	obj	English	spoken	0	7.8245890517
342	ICE-GB	S2B-032	discover	present	obj	English	spoken	75	7.8245890517
343	ICE-GB	S2A-027	discover	present	obj	English	spoken	0	7.2563052921
344	ICLE	GEAU3066	doubt	absent	obj	German	written	0	4.6801037372
345	ICLE	GEAU3064	doubt	present	obj	German	written	6	4.6801037372
346	LINDSEI	GE048	doubt	present	obj	German	spoken	0	2.4112284528
347	ICLE	GEAU3066	doubt	present	obj	German	written	19	4.4481280356
348	ICE-GB	W1B-023	ensure	present	obj	English	written	0	3.69378185
349	ICE-GB	S1B-054	ensure	present	obj	English	spoken	0	3.69378185
350	ICE-GB	S2B-031	ensure	present	obj	English	spoken	0	3.69378185
351	ICE-GB	W2D-017	ensure	present	obj	English	written	0	3.69378185
352	ICE-GB	W2D-017	ensure	absent	obj	English	written	0	3.69378185
353	ICE-GB	W2E-002	ensure	present	obj	English	written	0	3.69378185
354	ICE-GB	W2D-007	ensure	present	obj	English	written	42	3.69378185
355	ICE-GB	W2D-016	ensure	present	obj	English	written	0	3.69378185
356	ICE-GB	W1B-022	envisage	present	obj	English	written	0	2.9138950067
357	ICE-GB	S2B-037	expect	present	obj	English	spoken	0	3.8044431577
358	ICE-GB	S1A-098	expect	absent	obj	English	spoken	0	7.743042613
359	ICE-GB	S1A-006	expect	absent	obj	English	spoken	0	7.743042613
360	ICLE	SPM03049	expect	present	obj	Spanish	written	17	6.8155551128
361	ICE-GB	S1A-083	expect	absent	obj	English	spoken	0	6.8155551128
362	ICLE	SPM04030	expect	absent	obj	Spanish	written	45	4.5055748712
363	ICE-GB	W1B-013	expect	absent	obj	English	written	0	4.5055748712
364	ICE-GB	S1A-055	expect	absent	obj	English	spoken	0	4.5055748712
365	LINDSEI	GE035	expect	present	obj	German	spoken	22	4.5055748712
366	ICLE	GEAU3052	fear	present	obj	German	written	0	8.6973131916
367	ICLE	GEAU1078	fear	present	obj	German	written	0	7.1764810283
368	ICLE	GEAU3073	fear	absent	obj	German	written	10	8.1334123064
369	ICLE	SPM06008	fear	absent	obj	Spanish	written	34	8.1334123064
370	ICE-GB	S2B-044	feel	present	obj	English	spoken	0	5.1137389586
371	ICE-GB	S1A-003	feel	present	obj	English	spoken	10	5.6002774039
372	ICE-GB	S1B-008	feel	absent	obj	English	spoken	0	5.6002774039
373	ICE-GB	S1B-008	feel	present	obj	English	spoken	0	5.6002774039
374	ICE-GB	S1B-046	feel	absent	obj	English	spoken	0	5.6002774039
375	ICE-GB	S1B-078	feel	present	obj	English	spoken	0	5.6002774039
